"Plot Title: 60 Lafayette"
"#","Date Time, GMT-05:00","Motor, % on (LGR S/N: 20133267, SEN S/N: 20133267, LBL: AHU 11 Supply)","Total: Motor on, Time on (sec) (LGR S/N: 20133267)","Internal Calibration (LGR S/N: 20133267)","Button Down (LGR S/N: 20133267)","Button Up (LGR S/N: 20133267)","Host Connected (LGR S/N: 20133267)","Stopped (LGR S/N: 20133267)","End Of File (LGR S/N: 20133267)"
436,12/08/20 09:15:00 PM,0.00,,,,,,,
437,12/08/20 09:16:00 PM,0.00,,,,,,,
438,12/08/20 09:17:00 PM,0.00,,,,,,,
439,12/08/20 09:18:00 PM,0.00,,,,,,,
440,12/08/20 09:19:00 PM,0.00,,,,,,,
441,12/08/20 09:20:00 PM,0.00,,,,,,,
442,12/08/20 09:21:00 PM,0.00,,,,,,,
443,12/08/20 09:22:00 PM,0.00,,,,,,,
444,12/08/20 09:23:00 PM,0.00,,,,,,,
445,12/08/20 09:24:00 PM,0.00,,,,,,,
446,12/08/20 09:25:00 PM,0.00,,,,,,,
447,12/08/20 09:26:00 PM,0.00,,,,,,,
448,12/08/20 09:27:00 PM,0.00,,,,,,,
449,12/08/20 09:28:00 PM,0.00,,,,,,,
450,12/08/20 09:29:00 PM,0.00,,,,,,,
451,12/08/20 09:30:00 PM,0.00,,,,,,,
452,12/08/20 09:31:00 PM,0.00,,,,,,,
453,12/08/20 09:32:00 PM,0.00,,,,,,,
454,12/08/20 09:33:00 PM,0.00,,,,,,,
455,12/08/20 09:34:00 PM,0.00,,,,,,,
456,12/08/20 09:35:00 PM,0.00,,,,,,,
457,12/08/20 09:36:00 PM,0.00,,,,,,,
458,12/08/20 09:37:00 PM,0.00,,,,,,,
459,12/08/20 09:38:00 PM,0.00,,,,,,,
460,12/08/20 09:39:00 PM,0.00,,,,,,,
461,12/08/20 09:40:00 PM,0.00,,,,,,,
462,12/08/20 09:41:00 PM,0.00,,,,,,,
463,12/08/20 09:42:00 PM,0.00,,,,,,,
464,12/08/20 09:43:00 PM,0.00,,,,,,,
465,12/08/20 09:44:00 PM,0.00,,,,,,,
466,12/08/20 09:45:00 PM,0.00,,,,,,,
467,12/08/20 09:46:00 PM,0.00,,,,,,,
468,12/08/20 09:47:00 PM,0.00,,,,,,,
469,12/08/20 09:48:00 PM,0.00,,,,,,,
470,12/08/20 09:49:00 PM,0.00,,,,,,,
471,12/08/20 09:50:00 PM,0.00,,,,,,,
472,12/08/20 09:51:00 PM,0.00,,,,,,,
473,12/08/20 09:52:00 PM,0.00,,,,,,,
474,12/08/20 09:53:00 PM,0.00,,,,,,,
475,12/08/20 09:54:00 PM,0.00,,,,,,,
